stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\SAM-Tech\source\repos\Project4 - Copy\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.09284] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09290] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09297] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09304] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09312] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09318] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09323] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09329] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09335] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09342] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09348] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09353] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09359] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09366] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09372] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09378] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09384] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09389] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09396] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09409] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09415] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09420] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09426] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09435] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09441] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09447] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09454] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09461] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09468] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09474] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09482] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09487] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09492] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09498] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09503] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09509] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09515] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09521] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09529] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09535] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09542] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09548] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09554] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09560] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09565] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09570] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09576] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09582] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09588] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09594] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09601] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09608] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09615] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09623] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09630] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09635] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09641] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09646] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09653] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09659] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09665] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09671] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09678] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09683] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09689] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09693] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09701] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09707] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09712] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09719] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09725] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09730] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09735] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09740] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09746] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09750] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09756] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09761] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09767] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09773] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09779] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09784] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09791] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09799] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09806] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09813] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09818] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09823] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09828] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09833] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09839] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09844] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09849] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09853] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09859] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09865] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09870] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09875] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09881] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09886] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09892] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09897] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09904] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09910] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09915] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09920] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09932] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09946] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09953] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09959] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09964] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09969] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09975] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09981] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09988] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09994] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10001] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10007] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10013] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10018] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10025] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10030] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10036] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10041] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10046] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10050] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10056] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10060] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10066] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10070] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10076] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10081] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10087] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10091] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10098] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10105] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10113] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10118] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10123] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10128] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10134] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.10144] Trying format 8.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.10202] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.10210] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.13947] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.15880] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.15894] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.15901] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.15915] Format 8 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.15922] Returning d3d_display: 00A4BD60
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.15929] al_display=00A4BD60
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.15936] al_display->vt=00A72E90
system   D            wsystem.c:834  maybe_parent_dir                 [   0.15960] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16026] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16041] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16077] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16090] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16128] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16141] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16183] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16197] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16237] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16248] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16283] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16294] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16328] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16340] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16374] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16387] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16424] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16436] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16471] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16483] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16517] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16528] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16576] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16590] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16625] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16636] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16670] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16681] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16715] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16727] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16842] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16856] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16895] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16907] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16942] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.16955] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.16996] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.17012] Also searching C:\Users\SAM-Tech\source\repos\Project4 - Copy\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.17051] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.17059] Failed to load D3DX9 library. Library is not installed.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.17072] opening cb.ttf rb
font     D                ttf.c:973  al_load_ttf_font_stretch_f       [   0.17103] Font cb.ttf loaded with pixel size 0 x 32.
font     D                ttf.c:975  al_load_ttf_font_stretch_f       [   0.17111]     ascent=25.0, descent=-8.0, height=32.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.17120] added dtor for ttf_font 00A688E0, func 77AF100F
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.17129] opening gameboard.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.17144] opening gameboard.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17171] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17179] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17187] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17194] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17202] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17208] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17214] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17219] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.17224] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.17234] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.17245] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.17254] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.17263] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.17365] added dtor for bitmap 091AA4D0, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20768] opening start.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.20795] opening start.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20815] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20824] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20833] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20841] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20849] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20856] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20862] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20869] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20875] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.20882] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.20890] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.20899] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.20908] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20981] added dtor for bitmap 091A9260, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.23407] opening pause.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.23436] opening pause.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23452] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23459] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23465] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23470] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23475] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23479] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23484] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23489] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23495] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.23500] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.23505] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.23510] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.23515] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.23583] added dtor for bitmap 091B97E0, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.25952] opening startmenu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.25981] opening startmenu.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26006] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26013] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26020] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26027] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26035] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26041] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26049] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26055] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.26060] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.26067] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.26073] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.26078] Found a format
